question,difficulty
What is your name?,easy
How are you today?,easy
Are you going on vacation?,easy
I am very tired.,easy
How much work do you have?,normal,
Walking to work!,normal,
How much did the restaurant cost?,normal
Why was it so expensive?,normal
When and what hours are you working tomorrow?,hard
My extended family went on a vacation last week.,hard
The ocean is deep and contains many scary creatures.,hard
I fell sick and was not able to go to school today.,hard
I failed the test because I did not study.,hard
Why did you not meet me yesterday?,hard
